id,typesPoste,producteurs,nom,dateDebut,dateFin,altitude,latitude,longitude
48049001,2,['METEO-FRANCE'],BOURGS SUR COLAGNE (CHIRAC),1992-07-01 00:00:00,2005-09-16 00:00:00,[1000],[44.53666666666667],[3.216666666666667]
48051001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",LE COLLET-DE-DEZE (COLLET DE DEZE),1884-01-01 00:00:00,1989-12-31 00:00:00,"[304, 306, 320, 348]","[44.24333333333333, 44.245]","[3.921666666666667, 3.918333333333333]"
48053001,4,['ELECTRICITE DE FRANCE'],CUBIERES (CUBIERES AGGLOMERATION),1884-01-01 00:00:00,1910-12-31 00:00:00,[996],[44.473333333333336],[3.773333333333333]
48057001,4,['METEO-FRANCE'],MONTS-DE-RANDON (ESTABLES SIGNAL DE RANDON),1884-01-01 00:00:00,1964-12-31 00:00:00,[1200],[44.666666666666664],[3.483333333333333]
48057002,2,['CONSEIL GENERAL OU REGIONAL'],MONTS-DE-RANDON (ESTABLES),2009-08-01 00:00:00,2022-01-20 00:00:00,[1552],[44.656666666666666],[3.5435]
48064001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",FOURNELS (FOURNELS ECOLE PUBLIQUE),1884-01-01 00:00:00,1982-12-31 00:00:00,[962],[44.81666666666667],[3.116666666666666]
48065001,4,['METEO-FRANCE'],FRAISSINET-DE-FOURQUES,1972-11-01 00:00:00,1975-12-31 00:00:00,[1028],[44.21333333333333],[3.536666666666666]
48070001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",GRANDRIEU,1884-01-01 00:00:00,1987-06-30 00:00:00,"[1166, 1127]",[44.78333333333333],[3.633333333333333]
48070003,4,['METEO-FRANCE'],GRANDRIEU (GRANDRIEU LA CHAPELLE),1986-08-01 00:00:00,1986-11-30 00:00:00,[1178],[44.78333333333333],[3.633333333333333]
48074002,4,['METEO-FRANCE'],HURES-LA-PARADE (HURES-LA-PARADE AGGLOMERATION),1884-01-01 00:00:00,1930-12-31 00:00:00,[1020],[44.25],[3.426666666666666]
48074003,4,['METEO-FRANCE'],HURES-LA-PARADE,1930-04-01 00:00:00,2021-01-01 00:00:00,"[1000, 1028, 990]","[44.24333333333333, 44.25, 44.24966666666667]","[3.403, 3.35]"
48079001,4,['METEO-FRANCE'],LAJO,1961-01-01 00:00:00,1974-12-31 00:00:00,[1225],[44.833333333333336],[3.433333333333333]
48080002,3,['METEO-FRANCE'],LANGOGNE (LANGOGNE-CFPPA),1998-10-01 00:00:00,2007-09-05 00:00:00,[934],[44.733333333333334],[3.858333333333333]
48081001,4,['METEO-FRANCE'],LANUEJOLS (LANUEJOLS AGGLOMERATION),1906-01-01 00:00:00,1913-12-31 00:00:00,[900],[44.5],[3.5700000000000003]
48083001,4,['METEO-FRANCE'],LES LAUBIES (LES LAUBIES AGGLOMERATION),1873-01-01 00:00:00,1883-12-31 00:00:00,[1273],[44.685],[3.43]
48086001,4,['METEO-FRANCE'],LUC,1948-01-01 00:00:00,1970-12-31 00:00:00,"[980, 1030]","[44.64666666666667, 44.65]","[3.883333333333333, 3.886666666666666]"
48087001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",PRINSUEJOLS-MALBOUZON (MALBOUZON),1949-01-01 00:00:00,2021-01-01 00:00:00,[1174],"[44.7, 44.70033333333333]","[3.136166666666666, 3.133333333333333]"
48089001,4,['METEO-FRANCE'],LE MALZIEU-FORAIN (MALZIEU-FORAIN),1927-01-01 00:00:00,1961-12-31 00:00:00,[1153],[44.86333333333334],[3.409333333333333]
48090001,4,['METEO-FRANCE'],LE MALZIEU-VILLE (MALZIEU-VILLE),1884-01-01 00:00:00,1970-12-31 00:00:00,"[840, 860, 845, 863]","[44.855, 44.85]","[3.333333333333333, 3.328333333333333]"
48090002,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",LE MALZIEU-VILLE (MALZIEU-VILLE),1946-01-01 00:00:00,1999-09-30 00:00:00,"[840, 860]","[44.855, 44.873333333333335]","[3.316666666666667, 3.328333333333333]"
48090004,4,['METEO-FRANCE'],LE MALZIEU-VILLE (LE MALZIEU),1999-10-01 00:00:00,2021-01-01 00:00:00,"[859, 867]","[44.858333333333334, 44.854]","[3.3306666666666658, 3.333333333333333]"
48091001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",MARCHASTEL,1884-01-01 00:00:00,1977-12-31 00:00:00,"[1227, 1207]",[44.65],"[3.1, 3.105]"
48092001,4,"['ELECTRICITE DE FRANCE', 'METEO-FRANCE']",MARVEJOLS,1858-01-01 00:00:00,1981-12-31 00:00:00,"[668, 710, 670]","[44.55166666666667, 44.55]","[3.283333333333333, 3.288333333333333]"
48092002,4,['AUTRES'],MARVEJOLS,1972-01-01 00:00:00,1977-02-28 00:00:00,[630],[44.55],[3.283333333333333]
48093001,4,['METEO-FRANCE'],MONT LOZERE ET GOULET (MAS-D'ORCIERES LE MAZEL),1869-01-01 00:00:00,1957-02-28 00:00:00,[1080],[44.47833333333333],[3.706666666666666]
48095001,4,"['ELECTRICITE DE FRANCE', ""DIRECTION DEPARTEMENTALE DE L'EQUIPEMENT-DIRROUTE""]",MENDE,1857-09-01 00:00:00,1987-12-31 00:00:00,"[712, 722]","[44.51833333333333, 44.516666666666666]","[3.5, 3.498333333333333]"
48095002,4,['METEO-FRANCE'],MENDE (MENDE ECOLE NORMALE),1865-01-01 00:00:00,1933-12-31 00:00:00,[731],[44.51833333333333],[3.498333333333333]
48095003,4,['METEO-FRANCE'],MENDE,1879-01-01 00:00:00,1882-12-31 00:00:00,[709],[44.51833333333333],[3.498333333333333]
